SampleAccessionNumber	DataSetAccesionNumber	SampleType	CancerType	Outliers
GSM1416109.CEL.gz	GSM1416109	GSE58644	Cancer	Her2	NA
GSM1416110.CEL.gz	GSM1416110	GSE58644	Cancer	TNBC	Yes
GSM1416111.CEL.gz	GSM1416111	GSE58644	Cancer	Luminal A	NA
GSM1416112.CEL.gz	GSM1416112	GSE58644	Cancer	Luminal A	NA
GSM1416113.CEL.gz	GSM1416113	GSE58644	Cancer	Luminal A	NA
GSM1416114.CEL.gz	GSM1416114	GSE58644	Cancer	Luminal A	NA
GSM1416115.CEL.gz	GSM1416115	GSE58644	Cancer	Luminal A	NA
GSM1416116.CEL.gz	GSM1416116	GSE58644	Cancer	Luminal A	NA
GSM1416117.CEL.gz	GSM1416117	GSE58644	Cancer	Luminal A	NA
GSM1416118.CEL.gz	GSM1416118	GSE58644	Cancer	TNBC	NA
GSM1416119.CEL.gz	GSM1416119	GSE58644	Cancer	TNBC	NA
GSM1416120.CEL.gz	GSM1416120	GSE58644	Cancer	Luminal A	NA
GSM1416121.CEL.gz	GSM1416121	GSE58644	Cancer	Luminal A	NA
GSM1416122.CEL.gz	GSM1416122	GSE58644	Cancer	TNBC	NA
GSM1416123.CEL.gz	GSM1416123	GSE58644	Cancer	TNBC	NA
GSM1416124.CEL.gz	GSM1416124	GSE58644	Cancer	TNBC	Yes
GSM1416125.CEL.gz	GSM1416125	GSE58644	Cancer	TNBC	NA
GSM1416126.CEL.gz	GSM1416126	GSE58644	Cancer	TNBC	Yes
GSM1416127.CEL.gz	GSM1416127	GSE58644	Cancer	Luminal B	NA
GSM1416128.CEL.gz	GSM1416128	GSE58644	Cancer	Luminal A	NA
GSM1416129.CEL.gz	GSM1416129	GSE58644	Cancer	Luminal A	NA
GSM1416130.CEL.gz	GSM1416130	GSE58644	Cancer	Luminal A	NA
GSM1416131.CEL.gz	GSM1416131	GSE58644	Cancer	Luminal A	NA
GSM1416132.CEL.gz	GSM1416132	GSE58644	Cancer	Luminal A	NA
GSM1416133.CEL.gz	GSM1416133	GSE58644	Cancer	Luminal A	NA
GSM1416134.CEL.gz	GSM1416134	GSE58644	Cancer	Luminal A	NA
GSM1416135.CEL.gz	GSM1416135	GSE58644	Cancer	Luminal A	NA
GSM1416136.CEL.gz	GSM1416136	GSE58644	Cancer	Her2	NA
GSM1416137.CEL.gz	GSM1416137	GSE58644	Cancer	Her2	NA
GSM1416138.CEL.gz	GSM1416138	GSE58644	Cancer	Her2	NA
GSM1416139.CEL.gz	GSM1416139	GSE58644	Cancer	Luminal A	NA
GSM1416140.CEL.gz	GSM1416140	GSE58644	Cancer	Luminal A	NA
GSM1416141.CEL.gz	GSM1416141	GSE58644	Cancer	Luminal A	NA
GSM1416142.CEL.gz	GSM1416142	GSE58644	Cancer	Luminal A	NA
GSM1416143.CEL.gz	GSM1416143	GSE58644	Cancer	Luminal B	NA
GSM1416144.CEL.gz	GSM1416144	GSE58644	Cancer	Luminal B	NA
GSM1416146.CEL.gz	GSM1416146	GSE58644	Cancer	Luminal A	NA
GSM1416147.CEL.gz	GSM1416147	GSE58644	Cancer	TNBC	Yes
GSM1416148.CEL.gz	GSM1416148	GSE58644	Cancer	Luminal B	NA
GSM1416149.CEL.gz	GSM1416149	GSE58644	Cancer	Luminal A	NA
GSM1416150.CEL.gz	GSM1416150	GSE58644	Cancer	Her2	NA
GSM1416151.CEL.gz	GSM1416151	GSE58644	Cancer	Luminal A	NA
GSM1416152.CEL.gz	GSM1416152	GSE58644	Cancer	Luminal A	NA
GSM1416153.CEL.gz	GSM1416153	GSE58644	Cancer	Luminal A	NA
GSM1416154.CEL.gz	GSM1416154	GSE58644	Cancer	TNBC	Yes
GSM1416155.CEL.gz	GSM1416155	GSE58644	Cancer	Luminal A	NA
GSM1416156.CEL.gz	GSM1416156	GSE58644	Cancer	TNBC	NA
GSM1416157.CEL.gz	GSM1416157	GSE58644	Cancer	TNBC	NA
GSM1416158.CEL.gz	GSM1416158	GSE58644	Cancer	Luminal A	NA
GSM1416159.CEL.gz	GSM1416159	GSE58644	Cancer	TNBC	NA
GSM1416160.CEL.gz	GSM1416160	GSE58644	Cancer	Luminal A	NA
GSM1416161.CEL.gz	GSM1416161	GSE58644	Cancer	Luminal B	NA
GSM1416162.CEL.gz	GSM1416162	GSE58644	Cancer	TNBC	Yes
GSM1416163.CEL.gz	GSM1416163	GSE58644	Cancer	Luminal A	NA
GSM1416164.CEL.gz	GSM1416164	GSE58644	Cancer	Luminal A	NA
GSM1416165.CEL.gz	GSM1416165	GSE58644	Cancer	Luminal A	NA
GSM1416166.CEL.gz	GSM1416166	GSE58644	Cancer	Luminal A	NA
GSM1416167.CEL.gz	GSM1416167	GSE58644	Cancer	TNBC	Yes
GSM1416168.CEL.gz	GSM1416168	GSE58644	Cancer	Luminal A	NA
GSM1416169.CEL.gz	GSM1416169	GSE58644	Cancer	Luminal A	NA
GSM1416170.CEL.gz	GSM1416170	GSE58644	Cancer	TNBC	NA
GSM1416171.CEL.gz	GSM1416171	GSE58644	Cancer	TNBC	NA
GSM1416172.CEL.gz	GSM1416172	GSE58644	Cancer	TNBC	NA
GSM1416173.CEL.gz	GSM1416173	GSE58644	Cancer	Luminal A	NA
GSM1416174.CEL.gz	GSM1416174	GSE58644	Cancer	Luminal A	NA
GSM1416175.CEL.gz	GSM1416175	GSE58644	Cancer	Luminal A	NA
GSM1416176.CEL.gz	GSM1416176	GSE58644	Cancer	Luminal A	NA
GSM1416177.CEL.gz	GSM1416177	GSE58644	Cancer	Luminal A	NA
GSM1416179.CEL.gz	GSM1416179	GSE58644	Cancer	Luminal A	NA
GSM1416180.CEL.gz	GSM1416180	GSE58644	Cancer	Luminal A	NA
GSM1416181.CEL.gz	GSM1416181	GSE58644	Cancer	TNBC	NA
GSM1416182.CEL.gz	GSM1416182	GSE58644	Cancer	TNBC	Yes
GSM1416183.CEL.gz	GSM1416183	GSE58644	Cancer	Luminal A	NA
GSM1416184.CEL.gz	GSM1416184	GSE58644	Cancer	Luminal A	NA
GSM1416185.CEL.gz	GSM1416185	GSE58644	Cancer	Luminal A	NA
GSM1416186.CEL.gz	GSM1416186	GSE58644	Cancer	Luminal A	NA
GSM1416187.CEL.gz	GSM1416187	GSE58644	Cancer	Luminal A	NA
GSM1416188.CEL.gz	GSM1416188	GSE58644	Cancer	Luminal B	NA
GSM1416189.CEL.gz	GSM1416189	GSE58644	Cancer	Luminal A	NA
GSM1416190.CEL.gz	GSM1416190	GSE58644	Cancer	Luminal A	NA
GSM1416191.CEL.gz	GSM1416191	GSE58644	Cancer	Luminal A	NA
GSM1416192.CEL.gz	GSM1416192	GSE58644	Cancer	Luminal A	NA
GSM1416193.CEL.gz	GSM1416193	GSE58644	Cancer	Luminal A	NA
GSM1416194.CEL.gz	GSM1416194	GSE58644	Cancer	Luminal B	NA
GSM1416195.CEL.gz	GSM1416195	GSE58644	Cancer	Luminal A	NA
GSM1416196.CEL.gz	GSM1416196	GSE58644	Cancer	Luminal A	NA
GSM1416198.CEL.gz	GSM1416198	GSE58644	Cancer	Luminal A	NA
GSM1416199.CEL.gz	GSM1416199	GSE58644	Cancer	Luminal A	NA
GSM1416200.CEL.gz	GSM1416200	GSE58644	Cancer	TNBC	Yes
GSM1416201.CEL.gz	GSM1416201	GSE58644	Cancer	TNBC	NA
GSM1416202.CEL.gz	GSM1416202	GSE58644	Cancer	Luminal B	NA
GSM1416203.CEL.gz	GSM1416203	GSE58644	Cancer	Luminal A	NA
GSM1416204.CEL.gz	GSM1416204	GSE58644	Cancer	Luminal A	NA
GSM1416205.CEL.gz	GSM1416205	GSE58644	Cancer	Luminal A	NA
GSM1416206.CEL.gz	GSM1416206	GSE58644	Cancer	Luminal A	NA
GSM1416207.CEL.gz	GSM1416207	GSE58644	Cancer	Luminal A	NA
GSM1416208.CEL.gz	GSM1416208	GSE58644	Cancer	Her2	NA
GSM1416209.CEL.gz	GSM1416209	GSE58644	Cancer	Luminal A	NA
